measurer,type,time,number
14,S,23:40.8,
14,S,23:41.3,
14,S,29:40.3,61
14,S,29:42.0,
14,S,35:37.6,62
14,S,35:38.3,
14,S,36:16.2,65
14,S,36:16.6,
14,S,36:50.6,67
14,S,37:23.5,69
14,S,37:24.0,
14,S,38:07.8,71
14,S,38:08.2,
14,S,38:39.3,74
14,S,38:39.8,
14,S,39:11.9,75
14,S,39:12.3,
14,S,39:51.4,76
14,S,39:52.4,
14,S,40:30.3,77
14,S,41:00.8,84
14,S,41:01.3,
14,S,41:37.0,81
14,S,41:37.4,
14,S,42:10.7,79
14,S,42:11.4,
14,S,42:55.9,86
14,S,42:56.3,
14,S,43:27.4,66
14,S,43:27.8,
14,S,44:00.7,89
14,S,44:01.6,
14,S,44:40.2,78
14,S,44:40.6,
14,S,45:08.2,88
14,S,45:08.5,
14,S,45:40.5,93
14,S,46:14.4,85
14,S,46:14.9,
14,S,46:49.9,95
14,S,46:50.9,
14,S,47:35.9,96
14,S,47:36.4,
14,S,48:07.8,87
14,S,48:08.5,
14,S,48:42.0,97
14,S,48:43.5,
14,S,49:14.3,99
14,S,49:14.7,
14,S,49:48.0,105
14,S,49:48.9,
14,S,50:20.7,106
14,S,50:21.7,
14,S,50:52.4,82
14,S,50:52.8,
14,S,51:30.6,98
14,S,52:13.3,112
14,S,52:13.7,
14,S,52:49.1,113
14,S,52:49.6,
14,S,53:32.1,108
14,S,53:32.4,
14,S,54:27.2,111
14,S,54:27.7,
14,S,55:05.4,114
14,S,55:06.4,
14,S,55:39.0,116
14,S,55:39.4,
14,S,56:13.9,118
14,S,56:14.8,
14,S,56:47.2,119
14,S,56:48.1,
14,S,57:36.5,121
14,S,57:37.1,
14,S,00:00.2,104
14,S,00:42.0,94
14,S,00:43.0,
14,S,01:16.9,107
14,S,01:46.9,101
14,S,01:47.2,
14,S,02:19.7,103
14,S,02:20.3,
14,S,04:07.6,117
14,S,04:08.2,
14,S,04:44.1,92
14,S,04:44.4,
14,S,05:14.7,115
14,S,05:15.2,
14,S,06:02.2,72
14,S,06:03.4,
