measurer,type,time,number
10,T,53:37.7,
10,S,54:04.5,
10,S,54:04.8,
10,S,54:06.3,
10,S,54:06.7,
10,S,22:31.6,
10,S,22:32.2,
10,S,28:21.3,61
10,S,28:21.9,
10,S,34:18.7,62
10,S,34:19.3,
10,S,34:57.3,65
10,S,34:57.6,
10,S,35:31.5,67
10,S,36:04.2,69
10,S,36:04.8,
10,S,36:49.2,71
10,S,36:49.7,
10,S,37:20.2,74
10,S,37:20.7,
10,S,37:53.0,75
10,S,38:32.9,76
10,S,38:33.6,
10,S,39:11.5,77
10,S,39:11.8,
10,S,39:44.2,84
10,S,39:44.5,
10,S,40:18.4,81
10,S,40:18.8,
10,S,40:54.0,79
10,S,41:39.8,86
10,S,42:10.0,66
10,S,42:10.4,
10,S,42:41.7,89
10,S,42:42.2,
10,S,43:21.1,78
10,S,43:21.6,
10,S,43:50.9,88
10,S,43:51.2,
10,S,44:23.6,93
10,S,44:24.0,
10,S,44:55.7,85
10,S,44:56.5,
10,S,45:29.3,95
10,S,45:30.3,
10,S,46:17.4,96
10,S,46:17.8,
10,S,46:49.1,87
10,S,46:49.4,
10,S,47:23.6,97
10,S,47:55.5,99
10,S,47:55.9,
10,S,48:28.3,105
10,S,48:28.7,
10,S,49:02.0,106
10,S,49:02.4,
10,S,49:36.1,82
10,S,49:36.7,
10,S,50:12.3,98
10,S,50:12.8,
10,S,50:45.3,112
10,S,50:45.6,
10,S,52:13.3,108
10,S,52:13.7,
10,S,53:09.6,111
10,S,53:10.0,
10,S,53:47.0,114
10,S,54:19.5,116
10,S,54:19.8,
10,S,54:54.2,118
10,S,54:55.8,
10,S,55:45.1,119
10,S,55:45.5,
10,S,55:45.8,
10,S,55:46.1,
10,S,55:46.7,
10,S,55:47.1,
10,S,56:16.2,121
10,S,56:40.2,
10,T,58:42.9,104
10,T,59:24.2,94
10,T,59:58.1,107
10,T,00:29.5,101
10,T,01:04.4,103
10,T,02:46.9,117
10,T,03:24.4,92
10,T,03:56.6,115
10,T,04:40.3,72
