measurer,type,time,number
5,T,32:56.1,
5,T,53:34.0,
5,T,53:34.8,
5,S,15:26.6,
5,S,19:04.6,
5,S,19:22.4,
5,S,22:09.8,
5,S,22:11.2,
5,S,25:39.4,
5,S,25:40.0,
5,S,27:56.3,61
5,S,27:56.8,
5,S,33:53.7,62
5,S,33:54.2,
5,S,34:32.1,65
5,S,34:32.5,
5,S,35:05.9,67
5,S,35:06.3,
5,S,35:39.1,69
5,S,36:24.4,71
5,S,36:55.3,74
5,S,36:55.7,
5,S,37:27.9,75
5,S,38:07.8,76
5,S,38:08.5,
5,S,38:46.3,77
5,S,38:46.7,
5,S,39:18.4,84
5,S,39:18.9,
5,S,39:54.0,81
5,S,40:28.1,79
5,S,40:28.7,
5,S,41:15.4,86
5,S,41:44.8,66
5,S,42:16.9,89
5,S,42:17.4,
5,S,42:56.2,78
5,S,43:26.7,88
5,S,43:27.7,
5,S,43:58.7,93
5,S,43:59.2,
5,S,44:30.5,85
5,S,45:03.5,95
5,S,45:04.1,
5,S,45:52.2,96
5,S,45:52.7,
5,S,46:24.1,87
5,S,46:24.7,
5,S,46:58.3,97
5,S,46:58.8,
5,S,47:30.4,99
5,S,47:31.1,
5,S,48:03.1,105
5,S,48:36.7,106
5,S,49:10.7,82
5,S,49:11.5,
5,S,49:47.4,98
5,S,49:48.1,
5,S,50:18.3,112
5,S,50:18.7,
5,S,50:55.7,113
5,S,50:57.1,
5,S,51:41.5,108
5,S,52:45.0,111
5,S,52:45.5,
5,S,53:20.5,114
5,S,53:21.2,
5,S,53:54.4,116
5,S,53:55.1,
5,S,54:29.2,118
5,S,54:30.0,
5,S,55:04.5,119
5,S,55:05.3,
5,S,55:50.9,121
5,S,55:51.7,
5,S,58:14.0,104
5,S,58:15.6,
5,S,58:58.2,94
5,S,59:32.2,107
5,S,59:32.7,
5,S,00:03.4,101
5,S,00:03.8,
5,S,00:35.9,103
5,S,00:36.7,
5,S,02:20.2,117
5,S,02:22.0,
5,S,02:59.5,92
5,S,02:59.9,
5,S,03:31.7,115
5,S,03:32.5,
5,S,04:14.5,72
5,S,04:15.4,
