measurer,type,time,number,
14,S,14:24:10.77,,
14,S,14:24:11.32,,
14,S,14:30:10.32,1,
14,S,14:30:11.99,,
14,S,14:36:07.61,2,
14,S,14:36:08.33,,
14,S,14:36:46.19,5,
14,S,14:36:46.60,,
14,S,14:37:20.64,7,
14,S,14:37:53.51,9,
14,S,14:37:54.02,,
14,S,14:38:37.75,11,
14,S,14:38:38.19,,
14,S,14:39:09.29,14,
14,S,14:39:09.76,,
14,S,14:39:41.86,15,
14,S,14:39:42.32,,
14,S,14:40:21.43,16,
14,S,14:40:22.41,,
14,S,14:41:00.34,17,
14,S,14:41:30.83,24,
14,S,14:41:31.31,,
14,S,14:42:07.02,21,
14,S,14:42:07.39,,
14,S,14:42:40.69,19,
14,S,14:42:41.40,,
14,S,14:43:25.93,26,
14,S,14:43:26.32,,
14,S,14:43:57.37,6,
14,S,14:43:57.79,,
14,S,14:44:30.71,29,
14,S,14:44:31.60,,
14,S,14:45:10.18,18,
14,S,14:45:10.61,,
14,S,14:45:38.15,28,
14,S,14:45:38.53,,
14,S,14:46:10.54,33,
14,S,14:46:44.35,25,
14,S,14:46:44.90,,
14,S,14:47:19.92,35,
14,S,14:47:20.87,,
14,S,14:48:05.92,36,
14,S,14:48:06.41,,
14,S,14:48:37.84,27,
14,S,14:48:38.55,,
14,S,14:49:11.99,37,
14,S,14:49:13.47,,
14,S,14:49:44.29,39,
14,S,14:49:44.73,,
14,S,14:50:18.04,45,
14,S,14:50:18.89,,
14,S,14:50:50.72,46,
14,S,14:50:51.69,,
14,S,14:51:22.39,22,
14,S,14:51:22.76,,
14,S,14:52:00.61,38,
14,S,14:52:43.32,52,
14,S,14:52:43.65,,
14,S,14:53:19.10,53,
14,S,14:53:19.59,,
14,S,14:54:02.06,48,
14,S,14:54:02.43,,
14,S,14:54:57.20,51,
14,S,14:54:57.74,,
14,S,14:55:35.41,54,
14,S,14:55:36.43,,
14,S,14:56:09.04,56,
14,S,14:56:09.35,,
14,S,14:56:43.91,58,
14,S,14:56:44.82,,
14,S,14:57:17.16,59,
14,S,14:57:18.06,,
14,S,14:58:06.47,61,
14,S,14:58:07.06,,
14,S,15:00:30.23,44,
14,S,15:01:12.03,34,
14,S,15:01:12.98,,
14,S,15:01:46.90,47,
14,S,15:02:16.85,41,
14,S,15:02:17.19,,
14,S,15:02:49.73,43,
14,S,15:02:50.25,,
14,S,15:04:37.56,57,
14,S,15:04:38.18,,
14,S,15:05:14.12,32,
14,S,15:05:14.44,,
14,S,15:05:44.74,55,
14,S,15:05:45.17,,
14,S,15:06:32.20,12,
14,S,15:06:33.37,,
